Cod_Gecon;Cod_Gecon;Cod_Gecon;Cod_Gecon;Cod_Gecon
101;2017;3500105;Bovino;36449
101;2017;3500204;Bovino;7718
101;2017;3500303;Bovino;4620
101;2017;3500402;Bovino;8200
101;2017;3500501;Bovino;4957
101;2017;3500550;Bovino;11191
101;2017;3500709;Bovino;46237
101;2017;3500758;Bovino;7449
101;2017;3500808;Bovino;23730
101;2017;3500907;Bovino;20000
101;2017;3501004;Bovino;21626
101;2017;3501103;Bovino;23832
101;2017;3501152;Bovino;813
101;2017;3501202;Bovino;40960
101;2017;3501301;Bovino;50317
101;2017;3501400;Bovino;16380
101;2017;3501509;Bovino;6162
101;2017;3501608;Bovino;1000
101;2017;3501707;Bovino;270
101;2017;3501806;Bovino;20320
101;2017;3501905;Bovino;27966
101;2017;3502002;Bovino;11380
101;2017;3502101;Bovino;63921
101;2017;3502200;Bovino;50333
101;2017;3502309;Bovino;37500
101;2017;3502408;Bovino;30190
101;2017;3502507;Bovino;5274
101;2017;3502606;Bovino;22471
101;2017;3502705;Bovino;6065
101;2017;3502754;Bovino;2150
101;2017;3502804;Bovino;71520
101;2017;3502903;Bovino;10432
101;2017;3503000;Bovino;2514
101;2017;3503109;Bovino;12402
101;2017;3503158;Bovino;3858
101;2017;3503208;Bovino;11430
101;2017;3503307;Bovino;6500
101;2017;3503356;Bovino;22330
101;2017;3503406;Bovino;43690
101;2017;3503505;Bovino;12711
101;2017;3503604;Bovino;335
101;2017;3503703;Bovino;690
101;2017;3503802;Bovino;5219
101;2017;3503901;Bovino;260
101;2017;3503950;Bovino;6801
101;2017;3504008;Bovino;20200
101;2017;3504107;Bovino;11800
101;2017;3504206;Bovino;52570
101;2017;3504305;Bovino;37697
101;2017;3504404;Bovino;10054
101;2017;3504503;Bovino;49390
101;2017;3504602;Bovino;12393
101;2017;3504701;Bovino;3450
101;2017;3504800;Bovino;8020
101;2017;3504909;Bovino;16101
101;2017;3505005;Bovino;13160
101;2017;3505104;Bovino;10889
101;2017;3505203;Bovino;22995
101;2017;3505302;Bovino;748
101;2017;3505351;Bovino;3596
101;2017;3505401;Bovino;11553
101;2017;3505500;Bovino;47085
101;2017;3505609;Bovino;390
101;2017;3505807;Bovino;22115
101;2017;3505906;Bovino;25000
101;2017;3506003;Bovino;47577
101;2017;3506102;Bovino;9300
101;2017;3506201;Bovino;14100
101;2017;3506300;Bovino;8995
101;2017;3506409;Bovino;15189
101;2017;3506508;Bovino;44577
101;2017;3506607;Bovino;681
101;2017;3506706;Bovino;6024
101;2017;3506805;Bovino;11768
101;2017;3506904;Bovino;32075
101;2017;3507001;Bovino;13145
101;2017;3507100;Bovino;2360
101;2017;3507159;Bovino;2500
101;2017;3507209;Bovino;9600
101;2017;3507308;Bovino;3299
101;2017;3507407;Bovino;16200
101;2017;3507456;Bovino;3984
101;2017;3507506;Bovino;40500
101;2017;3507605;Bovino;30630
101;2017;3507704;Bovino;9568
101;2017;3507753;Bovino;4825
101;2017;3507803;Bovino;15315
101;2017;3507902;Bovino;28568
101;2017;3508009;Bovino;28045
101;2017;3508108;Bovino;29190
101;2017;3508207;Bovino;13085
101;2017;3508306;Bovino;15220
101;2017;3508405;Bovino;8530
101;2017;3508504;Bovino;22888
101;2017;3508603;Bovino;17710
101;2017;3508702;Bovino;29500
101;2017;3508801;Bovino;41500
101;2017;3508900;Bovino;20767
101;2017;3509007;Bovino;68
101;2017;3509106;Bovino;74369
101;2017;3509205;Bovino;106
101;2017;3509254;Bovino;8949
101;2017;3509304;Bovino;5000
101;2017;3509403;Bovino;27459
101;2017;3509452;Bovino;7547
101;2017;3509502;Bovino;24563
101;2017;3509601;Bovino;300
101;2017;3509700;Bovino;826
101;2017;3509809;Bovino;15400
101;2017;3509908;Bovino;957
101;2017;3509957;Bovino;4597
101;2017;3510005;Bovino;4405
101;2017;3510104;Bovino;857
101;2017;3510153;Bovino;400
101;2017;3510203;Bovino;27295
101;2017;3510302;Bovino;9358
101;2017;3510401;Bovino;4805
101;2017;3510500;Bovino;11100
101;2017;3510708;Bovino;45700
101;2017;3510807;Bovino;13200
101;2017;3510906;Bovino;14383
101;2017;3511003;Bovino;76401
101;2017;3511102;Bovino;2810
101;2017;3511201;Bovino;1580
101;2017;3511300;Bovino;15078
101;2017;3511409;Bovino;22847
101;2017;3511508;Bovino;8800
101;2017;3511607;Bovino;10110
101;2017;3511706;Bovino;4830
101;2017;3511904;Bovino;11143
101;2017;3512001;Bovino;7221
101;2017;3512100;Bovino;9978
101;2017;3512209;Bovino;2500
101;2017;3512308;Bovino;65000
101;2017;3512407;Bovino;1036
101;2017;3512506;Bovino;15022
101;2017;3512605;Bovino;17500
101;2017;3512704;Bovino;16634
101;2017;3512803;Bovino;1442
101;2017;3512902;Bovino;29710
101;2017;3513108;Bovino;5893
101;2017;3513207;Bovino;21686
101;2017;3513306;Bovino;1080
101;2017;3513405;Bovino;10251
101;2017;3513603;Bovino;85433
101;2017;3513702;Bovino;28960
101;2017;3513850;Bovino;8675
101;2017;3513900;Bovino;38000
101;2017;3514007;Bovino;553
101;2017;3514106;Bovino;14309
101;2017;3514205;Bovino;4901
101;2017;3514304;Bovino;14100
101;2017;3514403;Bovino;33820
101;2017;3514502;Bovino;22600
101;2017;3514601;Bovino;348
101;2017;3514700;Bovino;39516
101;2017;3514809;Bovino;14126
101;2017;3514908;Bovino;6985
101;2017;3514924;Bovino;1510
101;2017;3514957;Bovino;1410
101;2017;3515129;Bovino;25490
101;2017;3515152;Bovino;3336
101;2017;3515186;Bovino;16500
101;2017;3515194;Bovino;18800
101;2017;3515202;Bovino;30500
101;2017;3515301;Bovino;14487
101;2017;3515350;Bovino;59116
101;2017;3515400;Bovino;43682
101;2017;3515509;Bovino;41259
101;2017;3515608;Bovino;2222
101;2017;3515657;Bovino;8205
101;2017;3515707;Bovino;125
101;2017;3515806;Bovino;18785
101;2017;3515905;Bovino;18281
101;2017;3516002;Bovino;42780
101;2017;3516101;Bovino;850
101;2017;3516200;Bovino;23300
101;2017;3516309;Bovino;147
101;2017;3516408;Bovino;223
101;2017;3516507;Bovino;9917
101;2017;3516606;Bovino;19520
101;2017;3516705;Bovino;40252
101;2017;3516804;Bovino;15100
101;2017;3516853;Bovino;1826
101;2017;3516903;Bovino;42769
101;2017;3517000;Bovino;42600
101;2017;3517109;Bovino;12485
101;2017;3517208;Bovino;17260
101;2017;3517307;Bovino;16080
101;2017;3517406;Bovino;12429
101;2017;3517505;Bovino;17810
101;2017;3517604;Bovino;8167
101;2017;3517703;Bovino;5631
101;2017;3517802;Bovino;47291
101;2017;3517901;Bovino;13425
101;2017;3518008;Bovino;8621
101;2017;3518107;Bovino;40000
101;2017;3518206;Bovino;56100
101;2017;3518305;Bovino;8732
101;2017;3518404;Bovino;54399
101;2017;3518503;Bovino;44382
101;2017;3518602;Bovino;794
101;2017;3518859;Bovino;5063
101;2017;3518909;Bovino;30627
101;2017;3519006;Bovino;32680
101;2017;3519055;Bovino;1445
101;2017;3519105;Bovino;20159
101;2017;3519204;Bovino;24249
101;2017;3519253;Bovino;8494
101;2017;3519303;Bovino;3780
101;2017;3519402;Bovino;13500
101;2017;3519501;Bovino;3976
101;2017;3519600;Bovino;15600
101;2017;3519709;Bovino;3450
101;2017;3519808;Bovino;9794
101;2017;3519907;Bovino;17700
101;2017;3520004;Bovino;155
101;2017;3520103;Bovino;10157
101;2017;3520202;Bovino;9092
101;2017;3520301;Bovino;4401
101;2017;3520400;Bovino;50
101;2017;3520442;Bovino;26290
101;2017;3520509;Bovino;11500
101;2017;3520608;Bovino;17590
101;2017;3520707;Bovino;27260
101;2017;3520806;Bovino;12980
101;2017;3520905;Bovino;5230
101;2017;3521002;Bovino;5226
101;2017;3521101;Bovino;10796
101;2017;3521150;Bovino;7477
101;2017;3521200;Bovino;2415
101;2017;3521309;Bovino;4116
101;2017;3521408;Bovino;71
101;2017;3521507;Bovino;11050
101;2017;3521606;Bovino;22852
101;2017;3521705;Bovino;33900
101;2017;3521804;Bovino;27634
101;2017;3521903;Bovino;12630
101;2017;3522000;Bovino;12679
101;2017;3522109;Bovino;150
101;2017;3522158;Bovino;10333
101;2017;3522307;Bovino;66207
101;2017;3522406;Bovino;39650
101;2017;3522604;Bovino;34950
101;2017;3522653;Bovino;3921
101;2017;3522703;Bovino;21787
101;2017;3522802;Bovino;37800
101;2017;3522901;Bovino;1145
101;2017;3523008;Bovino;11709
101;2017;3523107;Bovino;788
101;2017;3523206;Bovino;36559
101;2017;3523305;Bovino;512
101;2017;3523404;Bovino;21200
101;2017;3523503;Bovino;24000
101;2017;3523602;Bovino;19224
101;2017;3523701;Bovino;12557
101;2017;3523800;Bovino;11200
101;2017;3523909;Bovino;32580
101;2017;3524006;Bovino;9638
101;2017;3524105;Bovino;17629
101;2017;3524204;Bovino;1763
101;2017;3524303;Bovino;7100
101;2017;3524402;Bovino;19537
101;2017;3524501;Bovino;7718
101;2017;3524600;Bovino;9132
101;2017;3524709;Bovino;4901
101;2017;3524808;Bovino;37210
101;2017;3524907;Bovino;13529
101;2017;3525102;Bovino;6196
101;2017;3525201;Bovino;5049
101;2017;3525300;Bovino;8921
101;2017;3525409;Bovino;1790
101;2017;3525508;Bovino;18330
101;2017;3525607;Bovino;26000
101;2017;3525706;Bovino;59530
101;2017;3525805;Bovino;11724
101;2017;3525854;Bovino;7550
101;2017;3525904;Bovino;4081
101;2017;3526001;Bovino;35660
101;2017;3526100;Bovino;8057
101;2017;3526308;Bovino;20552
101;2017;3526407;Bovino;38000
101;2017;3526506;Bovino;48029
101;2017;3526605;Bovino;6840
101;2017;3526704;Bovino;2500
101;2017;3526803;Bovino;5245
101;2017;3526902;Bovino;14702
101;2017;3527009;Bovino;3664
101;2017;3527108;Bovino;23800
101;2017;3527207;Bovino;29078
101;2017;3527256;Bovino;9895
101;2017;3527306;Bovino;618
101;2017;3527405;Bovino;30433
101;2017;3527504;Bovino;11750
101;2017;3527603;Bovino;5520
101;2017;3527702;Bovino;9888
101;2017;3527801;Bovino;13999
101;2017;3527900;Bovino;37000
101;2017;3528007;Bovino;1214
101;2017;3528106;Bovino;23987
101;2017;3528205;Bovino;26785
101;2017;3528304;Bovino;15509
101;2017;3528403;Bovino;6030
101;2017;3528502;Bovino;293
101;2017;3528601;Bovino;9349
101;2017;3528700;Bovino;81481
101;2017;3528809;Bovino;6963
101;2017;3528858;Bovino;2480
101;2017;3528908;Bovino;29953
101;2017;3529005;Bovino;119620
101;2017;3529104;Bovino;13025
