pais_de_origem;razao_social;cnpj;logradouro;cidade;uf;cep;e_mail;cotm;vigencia Mês;Vigência Dia;Vigência Ano
BRASIL;Agiliza Transportes E Logística Eireli;7953712000174;ROD. BR 277, KM 720, S/N, SALA 17 - ANEXO AO POSTO GASPARIN;;PR;85862000;leandro@agilizatransportes.com.br;0224-0107;11;9;2031
BRASIL;Alerta Transportes E Armazéns Gerais Ltda - Epp;10496449000146;Rodovia BR 277, km 720, nº 10.595 - Parque Três Fronteiras;;PR;85859688;delmar@transp-amizade.com.br;0900-0418;4;5;2028
BRASIL;Áquila Transporte De Cargas Ltda;3608196000190;STRC TRECHO 04 CONJ. C LOTE 09 - ZONA INDUSTRIAL;;DF;71225543;marcelo@aquilaexpress.com.br;0419-1110;6;29;2032
BRASIL;Brazil Relocation & Services Ltda;4314143000129;RUA 13, QD. 49, LOTE 32 E 33 - PARQUE ESPLANADA II;;GO;72878036;adm1@brazilrelocatin.com;0412-0910;11;12;2030
BRASIL;Brucal Implementos Rodoviários Ltda;76188846000169;Rod. dos Minérios, km23,5, nº14552 - Areias;;PR;83514000;fernando@brucalimplementos.com.br;0659-1214;12;30;2024
BRASIL;Bun Log Serviços Logisticos Ltda;35957917000163;RUA ROQUE MEDALDO FRIAS, Nº 1341, GAÇPÃO 05, SALA 01, TÉRREO - RECREIO CAMPESTRE JOIA;;SP;13347035;rmendes@bentonit.com.br;1171-0621;6;22;2031
BRASIL;Ciagram Portos E Navegação Da Amazônia Ltda;2900972000168;R I QUADRA E - LOTE 02 - SETOR INDUSTRIAL;;AM;69800000;logistica@masutti.com.br;1269-0622;6;22;2032
BRASIL;Eckert & Ziegler Brasil Logistica Ltda;21423605000165;RUA MIGUEL NELSON BECHARA, 480 - TERREO - SALA 01 - BAIRRO - JARDIM PEREIRA LEITE;;SP;2712130;clarice.almeida@ezag.com;1085-0620;6;12;2030
BRASIL;Gencon Logistica Transportes E Armazéns Gerais Ltda;7263198000145;Av. Fernando Cerqueira César Coimbra - 830 - Bloco 02 - Parque Industrial Cacique - Londrina;;PR;86072110;italo@compager.com.br;0579-0913;9;10;2023
PARAGUAI;Grupo G3 Sociedade Anonima;53412;RUTA 6, CRUCE 14 DE MAYO, SANTA RITA;;;;maxypytterh@hotmail.com;0534-1212;12;10;2022
BRASIL;Jbs S.A.;2916265000160;AV. MARGINAL DIREITA DO TIETE, 500 - ANDAR 3 BLOCO I;;SP;5118100;cassio.sanches@jbs.com.br;1023-1019;10;1;2029
BRASIL;Jr Pereira Transportes Ltda;51024961000177;EST DO CAIXA PARA, 120, LEVILÂNDIA, ANANINDEUA;;PA;67015520;didimopereira@hotmail.com;1407-0224;2;8;2034
BRASIL;Katoen Natie Do Brasil Ltda;40924102000118;Avenida Viena, nº 419 - Distrito Industrial;;SP;13146055;regulatorios@katoennatie.com.br;0214-1106;10;19;2026
BRASIL;Leramarc Transportes E Logística Ltda;31000248000186;Rua Antonio Soster, 287 - Jardim Regina;;SP;13348897;rafael@leramarc.com.br;0987-0519;5;9;2029
BRASIL;Logjato Transportes E Logistica Eireli;24514316000160;Segunda Avenida Bloco 1385A, Loja 1;;DF;71710555;logjatobsb@gmail.com;0794-1016;10;5;2026
BRASIL;Logmed Rio Armazenagem E Transporte Ltda;22044907000195;RUA FRANCISCO DE S E MELO, 01590, ARMAZEN Nº 103 GALPÃO 03;;RJ;21010900;juridico@logmed.net;1028-1019;10;10;2029
DINAMARCA;Maersk Line A/S;21386088000100;Esplanaden 50, 1098;;;;gustavo.candido@maersk.com;0667-0315;3;25;2025
BRASIL;Marca Sul Mudanças E Transportes Ltda;3126110000192;SCIA Quadra 08, conj.08, lote 13;;DF;71250710;bsb@granero.com.br;0804-1116;11;11;2026
BRASIL;Medylog Logística E Distribuição Ltda;11958200000178;RUA 24 (Polo de Modas) - LOTE 05 - QE 40;;DF;71070524;MEDYLOGADM@GMAIL.COM;1311-1222;12;1;2032
BRASIL;Megatranz Transportes Ltda;3061794000191; Av. Major Sylvio de Magalhães Padilha, 5200 -  Bl. E - 5º andar - Conjunto 507;;SP;5693000;MEGATRANZ@megatranz.com;0081-0605;6;8;2027
BRASIL;Mel Logística E Desembaraço Aduaneiro Eireli - Me;23756206000141;RUA WALTER MACHADO, 841 QUADRA D LOTE 05 ( CX POSTAL 187);;GO;75375000;ricardo@mellogistica.com.br;0824-0217;2;10;2027
BRASIL;Noble Brasil S.A;6315338000119;Avenida Rebouças nº 3.970, 22º andar - Condomínio Eldorado Business Tower;;SP;5402920;julianamedeiros@thisisnoble.com;0493-0512;5;25;2022
BRASIL;Northin Logística E Servicos De Navegação Ltda;41248280000139;EST. ESTADUAL DO ANEL VIARIO S/N - GALPÃO 02 - SALA 02 - AREA RURAL;;RO;76914899;igorchaves98@hotmail.com;1394-1223;12;20;2033
BRASIL;Nova Solução Logística & Transporte Ltda;33805990000194;Estrada Angela Trevisan Ciciliato, Nº 200, Galpão 01, Modulo 01 - Jardim Oliveira Camargo;;SP;13340730;diretoria@novasolucaolog.com;1440-0824;8;23;2034
BRASIL;Pacheco Logística Ltda;14144376000184;RUA DONA MARGARIDA, Nº 903;;RS;90240611;contabilidade@grupodarcypacheco.com.br;0568-0713;7;22;2023
BRASIL;Paradiso Giovanella Transportes Ltda;68979111000125;Rua José Simeão Rodrigues Agostinho, n º 502 - sala 03 - Bairro Água Espraiadas;;SP;6833300;adm@transgiovanella.com.br;0072-0505;6;7;2015
BRASIL;Rm Melo Transforporte Rodoviario E Aereo De Cargas Ltda;12323649000122;QUADRA 3, CONJUNTO B, LOTE 6, SETOR DE INDUSTRIAS BERNARDO SAYAO;;DF;71736302;RODRIGO@ALFAEXPRESSDF.COM.BR;1446-0924;9;30;2034
BRASIL;Rodorei Transportes Ltda;68577659000149;Rua Salete nº 200 Cj. 81/82;;SP;2016001;reinaldo@rodorei.com.br;0535-0113;1;3;2023
BRASIL;Sec Figueiredo Ltda - Epp;43448117000145;RUA ESTELA Nº 515 - BLOCO H - 3 ANDAR - CJ 31;;SP;4011002;eduardo@secfigueiredo.com.br;0524-1012;10;8;2022
BRASIL;Sigma Diamant Brasil Comercio De Maquinas E Equipamentos Para Ceramica Ltda;18461528000123;RUA CORONEL PEDRO BENEDET, Nº 333, SALA 1603;;SC;88801250;operacional@sigmagrupo.com.br;1203-1121;11;19;2031
BRASIL;Teciap - Terminais E Armazens Geriais Ltda;20404196000197;R A, Nr. 1530 - LOTE A QUADRA AREA -  PARQUE INDUSTRIAL INTERMODAL DE RONDONOPÓLIS;;MT;78748702;fiscal@ciapetro.com.br;1466-0125;1;8;2035
BRASIL;Tex Transporte De Encomendas Expressas Ltda;6367990000187;RUA GIÁCOMO BATTASSINI, Nº 77, TERREO;;RS;95034190;dptofiscal@passaromarron.com.br;1142-0221;2;22;2031
BRASIL;Torres Transportes Rodofluvial Ltda;14410508000172;RODOVIA BR 163 - SANTAREM CUIABA - KM04, S/N;;PA;68030000;cobranca@torrestransportes.com.br;1354-0623;6;2;2033
BRASIL;Trans30 Transportes De Cargas Ltda;28965734000124;Rua Raimundo Antonio dos Santos, s/n, quadra 25, lote 27 - Campo Lindo;;RJ;22898018;contabilidadealcm@gmail.com;0942-1018;10;4;2028
BRASIL;Transfepaje - Transporte Rodoviário De Cargas Ltda;7432416000128;AVENIDA NILSON GOTLLIEB - Nº 2505 - TRÊS LAGOAS;;PR;85862408;COMERCIAL@TRANSFEPAJE.COM.BR;1299-0922;9;29;2032
BRASIL;Transjak Express Ltda;40897110000112;Avenida Antonio Coellho Carvalho nº 2503 - B - Santa Rita;;AM;68901280;TRANSJAK-AP@HOTMAIL.COM;1393-1223;12;20;2033
BRASIL;Transli - Transportadora Liberdade Ltda;1650438000188;Avenida Nilson Gottlieb, s/n - Final - De frente a BR 277 - Km 720;;PR;85862408;transli@transliberdade.com.br;0169-0206;5;31;2026
BRASIL;Transportadora Amizade Ltda;2335956000170;BR 277, km 720, nº 10.595 sala 14 - Anexo Posto Gasparin - Bairro Três Lagoas;;PR;85867000;argeu@transp-amizade.com.br;0033-0305;3;30;2025
